date,AAPL,MSFT
17-12-2010,45.8,27.9
20-12-2010,46.03,27.81
21-12-2010,46.32,28.07
22-12-2010,46.45,28.19
23-12-2010,46.23,28.3
27-12-2010,46.38,28.07
28-12-2010,46.5,28.01
29-12-2010,46.47,27.97
30-12-2010,46.24,27.85
31-12-2010,46.08,27.91
03-01-2011,47.08,27.98
04-01-2011,47.33,28.09
05-01-2011,47.71,28
06-01-2011,47.68,28.82
07-01-2011,48.02,28.6
10-01-2011,48.92,28.22
11-01-2011,48.81,28.11
12-01-2011,49.2,28.55
13-01-2011,49.38,28.19
14-01-2011,49.78,28.3
18-01-2011,48.66,28.66
19-01-2011,48.41,28.47
20-01-2011,47.53,28.35
21-01-2011,46.67,28.02
24-01-2011,48.21,28.38
25-01-2011,48.77,28.45
26-01-2011,49.12,28.78
27-01-2011,49.03,28.87
28-01-2011,48.01,27.75
31-01-2011,48.47,27.72
01-02-2011,49.29,27.99
02-02-2011,49.19,27.94
03-02-2011,49.06,27.65
04-02-2011,49.5,27.77
07-02-2011,50.27,28.2
08-02-2011,50.74,28.28
09-02-2011,51.17,27.97
10-02-2011,50.65,27.5
11-02-2011,50.98,27.25
14-02-2011,51.31,27.23
15-02-2011,51.41,26.96
16-02-2011,51.88,27.02
17-02-2011,51.19,27.21
18-02-2011,50.08,27.06
22-02-2011,48.37,26.59
23-02-2011,48.95,26.59
24-02-2011,48.98,26.77
25-02-2011,49.74,26.55
28-02-2011,50.46,26.58
01-03-2011,49.9,26.16
02-03-2011,50.3,26.08
03-03-2011,51.37,26.2
04-03-2011,51.43,25.95
07-03-2011,50.77,25.72
08-03-2011,50.82,25.91
09-03-2011,50.35,25.89
10-03-2011,49.52,25.41
11-03-2011,50.28,25.68
14-03-2011,50.51,25.69
15-03-2011,49.35,25.39
16-03-2011,47.14,24.79
17-03-2011,47.81,24.78
18-03-2011,47.24,24.8
21-03-2011,48.47,25.33
22-03-2011,48.74,25.3
23-03-2011,48.46,25.54
24-03-2011,49.28,25.81
25-03-2011,50.22,25.62
28-03-2011,50.06,25.41
29-03-2011,50.14,25.49
30-03-2011,49.8,25.61
31-03-2011,49.79,25.39
01-04-2011,49.22,25.48
04-04-2011,48.74,25.55
05-04-2011,48.41,25.78
06-04-2011,48.29,26.15
07-04-2011,48.3,26.2
08-04-2011,47.87,26.07
11-04-2011,47.26,25.98
12-04-2011,47.49,25.64
13-04-2011,48.02,25.63
14-04-2011,47.49,25.42
15-04-2011,46.78,25.37
18-04-2011,47.41,25.08
19-04-2011,48.27,25.15
20-04-2011,48.92,25.76
21-04-2011,50.1,25.52
25-04-2011,50.43,25.61
26-04-2011,50.06,26.19
27-04-2011,50.02,26.38
28-04-2011,49.54,26.71
29-04-2011,50.02,25.92
02-05-2011,49.47,25.66
03-05-2011,49.74,25.81
04-05-2011,49.94,26.06
05-05-2011,49.54,25.79
06-05-2011,49.52,25.87
09-05-2011,49.66,25.83
10-05-2011,49.92,25.67
11-05-2011,49.6,25.36
12-05-2011,49.51,25.32
13-05-2011,48.64,25.03
16-05-2011,47.61,24.57
17-05-2011,48.02,24.52
18-05-2011,48.55,24.69
19-05-2011,48.65,24.72
20-05-2011,47.89,24.49
23-05-2011,47.77,24.17
24-05-2011,47.46,24.15
25-05-2011,48.11,24.19
26-05-2011,47.86,24.67
27-05-2011,48.2,24.76
31-05-2011,49.69,25.01
01-06-2011,49.36,24.43
02-06-2011,49.44,24.22
03-06-2011,49.06,23.9
06-06-2011,48.29,24.01
07-06-2011,47.43,24.06
08-06-2011,47.46,23.94
09-06-2011,47.36,23.96
10-06-2011,46.56,23.7
13-06-2011,46.66,24.04
14-06-2011,47.49,24.22
15-06-2011,46.68,23.74
16-06-2011,46.45,24
17-06-2011,45.75,24.26
20-06-2011,45.05,24.47
21-06-2011,46.47,24.76
22-06-2011,46.09,24.65
23-06-2011,47.32,24.63
24-06-2011,46.62,24.3
27-06-2011,47.43,25.2
28-06-2011,47.89,25.8
29-06-2011,47.72,25.62
30-06-2011,47.95,26
01-07-2011,49.04,26.02
05-07-2011,49.92,26.03
06-07-2011,50.25,26.33
07-07-2011,51.03,26.77
08-07-2011,51.39,26.92
11-07-2011,50.57,26.63
12-07-2011,50.54,26.54
13-07-2011,51.15,26.63
14-07-2011,51.11,26.47
15-07-2011,52.13,26.78
18-07-2011,53.4,26.59
19-07-2011,53.84,27.54
20-07-2011,55.27,27.06
21-07-2011,55.33,27.1
22-07-2011,56.19,27.53
25-07-2011,56.93,27.91
26-07-2011,57.63,28.08
27-07-2011,56.08,27.33
28-07-2011,55.97,27.72
29-07-2011,55.78,27.4
01-08-2011,56.68,27.27
02-08-2011,55.46,26.64
