date,ozone,pm25,co
07-03-2001,0.016757,10.25,0.925
08-03-2001,0.017687,15.978947,1.023209
09-03-2001,0.01896,18.05,1.148504
10-03-2001,0.025813,13.5,0.96994
11-03-2001,0.021299,16.089474,0.965476
12-03-2001,0.019961,12.65,1.058036
13-03-2001,0.010247,23.75,1.451488
14-03-2001,0.017604,11.541176,1.143975
15-03-2001,0.007905,17.6,1.204529
16-03-2001,0.012636,21.1,1.344176
17-03-2001,0.012422,18.288889,1.103869
18-03-2001,0.026993,7.5,0.907738
19-03-2001,0.021681,7,0.995157
20-03-2001,0.017917,9.126316,1.061499
21-03-2001,0.026868,6.75,0.8399
22-03-2001,0.021791,7.7,0.952144
23-03-2001,0.034278,6.042105,0.968056
24-03-2001,0.028618,12.95,0.894444
25-03-2001,0.025968,8.55,0.772569
26-03-2001,0.017296,14.436842,0.920139
27-03-2001,0.017167,9.3,0.895405
28-03-2001,0.014225,14.8,1.031769
29-03-2001,0.014352,22.477778,1.070918
30-03-2001,0.020965,8.05,0.929167
31-03-2001,0.014563,17.1,1.025893
01-04-2001,0.013942,16.857895,0.954932
02-04-2001,0.022085,15.85,1.056529
03-04-2001,0.022225,14.3,0.987852
04-04-2001,0.018571,11.477778,0.989855
05-04-2001,0.024327,13.366667,1.111418
06-04-2001,0.00871,30.6,1.134226
07-04-2001,0.03332,19.736842,0.994643
08-04-2001,0.018333,11.75,0.956548
09-04-2001,0.014111,38.8,1.626372
10-04-2001,0.021619,11.705263,1.114286
11-04-2001,0.021711,11.3,1.102381
12-04-2001,0.012561,17.4,1.376663
13-04-2001,0.029288,14.010526,1.330985
14-04-2001,0.03122,6,0.824702
15-04-2001,0.032447,11.3,0.852976
16-04-2001,0.02341,8.694737,0.849766
17-04-2001,0.017397,12.85,0.905243
18-04-2001,0.034992,6.55,0.744798
19-04-2001,0.0238,8.705263,0.86641
20-04-2001,0.021242,22.6,1.310758
21-04-2001,0.024103,27.4,1.046675
22-04-2001,0.031631,24.452632,0.982075
23-04-2001,0.028849,19.1,0.990238
24-04-2001,0.030389,19.15,0.923249
25-04-2001,0.021954,7.1,0.799802
26-04-2001,0.028798,10.55,0.860235
27-04-2001,0.026732,14.35,1.026614
28-04-2001,0.03998,6.873684,0.725
29-04-2001,0.032274,8.35,0.63244
30-04-2001,0.028994,15.3,0.911659
01-05-2001,0.034667,22.338889,1.103112
02-05-2001,0.037685,31.2,1.156845
03-05-2001,0.040423,37,1.178118
04-05-2001,0.04828,38.142105,1.166509
05-05-2001,0.033871,17.65,0.949653
06-05-2001,0.031024,4.35,0.64375
07-05-2001,0.021764,6.621053,0.793056
08-05-2001,0.020359,8.7,0.874515
09-05-2001,0.018461,16.75,1.189486
10-05-2001,0.032639,18.121053,1.261008
11-05-2001,0.041587,27.25,1.227717
12-05-2001,0.040042,24.25,1.005952
13-05-2001,0.034089,4.152941,0.722917
14-05-2001,0.030015,7.25,0.838529
15-05-2001,0.032143,6.15,0.881845
16-05-2001,0.023794,6.721053,0.933414
17-05-2001,0.028577,11.4,0.937365
18-05-2001,0.016412,9.7,0.966229
19-05-2001,0.02944,23.615789,1.207143
20-05-2001,0.029423,8.05,0.822619
21-05-2001,0.021062,10,0.941504
22-05-2001,0.028941,6.14,0.923918
23-05-2001,0.021463,5.95,1.023755
24-05-2001,0.019143,7.2,0.910136
25-05-2001,0.01976,9.9,0.811012
26-05-2001,0.013686,9.05,0.991667
27-05-2001,0.022411,10.05,0.849405
28-05-2001,0.036399,12.526316,0.779762
29-05-2001,0.023274,15.25,0.959713
30-05-2001,0.027851,5.45,0.798214
31-05-2001,0.023125,5.368421,0.81408
01-06-2001,0.031536,16.8,0.955736
